model,mean_wobble,mean_wilson_lo,mean_wilson_hi,point_worst_category,point_worst_rate,point_worst_lo,point_worst_hi,second_worst_category,second_worst_rate,robust_worst_category,robust_worst_lo,point_ratio,conservative_ratio,conservative_ratio_point_selected,conservative_ratio_excl_worst,n_estimable_categories
gemma3-1b,0.424307,0.380370,0.469474,cap_table,0.969697,0.846813,0.994631,regulatory,0.629630,cap_table,0.846813,2.2854,1.8037,1.8037,1.9717,7
deepseek-v4f,0.057447,0.039778,0.082291,regulatory,0.148148,0.059159,0.324787,risk_flag,0.076923,regulatory,0.059159,2.5789,0.7189,0.7189,0.7713,7
deepseek-v4p,0.044776,0.029470,0.067479,convertibles,0.074468,0.036539,0.145812,regulatory,0.074074,convertibles,0.036539,1.6631,0.5415,0.5415,0.5924,7
gemma4-31b-or,0.029851,0.017863,0.049477,cap_table,0.121212,0.048162,0.273255,rights_governance,0.051282,cap_table,0.048162,4.0606,0.9734,0.9734,1.1550,7
mistral-large-or,0.031915,0.019435,0.051985,regulatory,0.074074,0.020555,0.233696,founder_equity,0.065217,founder_equity,0.022428,2.3210,0.4314,0.3954,0.4526,7
minimax-m2.5-or,0.074468,0.054029,0.101806,regulatory,0.296296,0.158530,0.484807,rights_governance,0.102564,regulatory,0.158530,3.9788,1.5572,1.5572,1.8175,7
llama3.3-70b-or,0.031983,0.019476,0.052094,cap_table,0.090909,0.031404,0.235726,regulatory,0.074074,cap_table,0.031404,2.8424,0.6028,0.6028,0.6613,7
gemma3-1b-qat,0.338298,0.296988,0.382229,cap_table,0.696970,0.526619,0.826245,regulatory,0.444444,cap_table,0.526619,2.0602,1.3778,1.3778,1.4788,7
gemini3-flash-or,0.025586,0.014696,0.044185,cap_table,0.060606,0.016781,0.196062,risk_flag,0.051282,priced_equity,0.019234,2.3687,0.4353,0.3798,0.4612,7
haiku-4.5-direct,0.027778,0.016304,0.046941,cap_table,0.090909,0.031404,0.235726,regulatory,0.037037,cap_table,0.031404,3.2727,0.6690,0.6690,0.7514,7
gpt-oss-120b-or,0.061834,0.043394,0.087393,cap_table,0.151515,0.066505,0.309199,regulatory,0.111111,cap_table,0.066505,2.4504,0.7610,0.7610,0.8251,7
gpt5-mini-or,0.055319,0.038028,0.079821,regulatory,0.148148,0.059159,0.324787,rights_governance,0.115385,rights_governance,0.061905,2.6781,0.7756,0.7412,0.8361,7
