population,k,n_items,mean,hits,expected,ratio,median,chance
all,5,461,0.23777777777777753,107,9.761388286334046,10.961555555555567,0.2,0.021691973969631236
clean,5,425,0.1866666666666666,84,9.423529411764688,8.913857677902639,0.2,0.023529411764705882
inflation,5,,0.05111111111111094,,,1.273809523809523,,0.21495327102803688
