group,items,pairs,flipped,wobble,lo,hi,diff,diff_lo,diff_hi,excludes_zero
clean,427,5116,447,0.08737294761532448,0.0799414463265128,0.09542364379241118,,,,
computational,17,204,38,0.18627450980392157,0.1388268322943278,0.2453191377817086,0.0989015621885971,0.05077572910500082,0.15841202601170035,1
evidence-absent,17,204,69,0.3382352941176471,0.27683609117750113,0.4056141746429552,0.2508623465023226,0.18893758707105,0.318649814018445,1
quote-absent-from-source,2,24,3,0.125,0.04344334080123444,0.31003881270500067,0.03762705238467552,-0.044325997397497624,0.2228150363865592,0
evidence-absent-excl-reclassified,13,156,37,0.23717948717948717,0.17725337497525034,0.3097382941136472,0.14980653956416268,0.08934206542561964,0.2227449222931094,1
