task,n_items,n_cells,before_wobble,before_lo,before_hi,after_wobble,after_lo,after_hi,difference,difference_lo,difference_hi
convert_vs_preference_decision,2,24,0.0,1.3877787807814457e-17,0.13797620467498017,0.08333333333333333,0.023158815297043306,0.25848802193210685,-0.08333333333333333,-0.25848802193210685,0.0671937595018497
multi_round_stacked_dilution,5,60,0.16666666666666666,0.0931317697919145,0.2803161316361453,0.2,0.11828505322897494,0.317818058056279,-0.033333333333333354,-0.17221629075624095,0.10664356981015036
option_pool_shuffle,3,36,0.6111111111111112,0.44864459096605147,0.75215126934629,0.3055555555555556,0.1800445159482992,0.4685627285051034,0.3055555555555556,0.07541058254713012,0.49435531005300865
POOLED,10,120,0.26666666666666666,0.19568455046725244,0.352124393861476,0.20833333333333334,0.14528439608109694,0.2894767843298135,0.05833333333333332,-0.04947538829792117,0.1645321639574927
POOLED_COMPLETE,10,107,0.22429906542056074,0.15561551031500886,0.3120926863495348,0.18691588785046728,0.12438473839721985,0.27114829849302463,0.03738317757009346,-0.07130228486437287,0.14516937579493466
