model,category,n_leaves,flipped_items,measured_items,rate,wilson_lo,wilson_hi,estimable
gpt-oss-120b-or,convertibles,12,2,94,0.021277,0.005854,0.074290,1
gpt-oss-120b-or,exit_waterfall,3,2,8,0.250000,0.071479,0.590725,1
gpt-oss-120b-or,founder_equity,5,2,46,0.043478,0.012005,0.145323,1
gpt-oss-120b-or,priced_equity,16,7,144,0.048611,0.023744,0.096936,1
gpt-oss-120b-or,regulatory,5,3,27,0.111111,0.038520,0.280578,1
gpt-oss-120b-or,rights_governance,7,7,78,0.089744,0.044153,0.173847,1
gpt-oss-120b-or,risk_flag,5,1,39,0.025641,0.004541,0.131810,1
gpt5-mini-or,cap_table,7,2,33,0.060606,0.016781,0.196062,1
gpt5-mini-or,convertibles,12,0,95,0.000000,0.000000,0.038865,1
gpt5-mini-or,exit_waterfall,3,4,8,0.500000,0.215216,0.784784,1
gpt5-mini-or,founder_equity,5,2,46,0.043478,0.012005,0.145323,1
gpt5-mini-or,priced_equity,16,5,144,0.034722,0.014921,0.078703,1
gpt5-mini-or,regulatory,5,4,27,0.148148,0.059159,0.324787,1
gpt5-mini-or,rights_governance,7,9,78,0.115385,0.061905,0.204970,1
gpt5-mini-or,risk_flag,5,0,39,0.000000,0.000000,0.089667,1
