k,from,to,k_effective_a,k_effective_b,hits,rate,chance,lift,truncated_a,truncated_b
20,deepseek-v4p,llama3.3-70b-or,15,9,6,0.400000,0.157895,0.242105,1,1
20,deepseek-v4p,gemma3-1b-qat,15,40,12,0.800000,0.701754,0.098246,1,0
20,deepseek-v4p,gemini3-flash-or,15,11,5,0.333333,0.192982,0.140351,1,1
20,deepseek-v4p,haiku-4.5-direct,15,9,5,0.333333,0.157895,0.175439,1,1
20,deepseek-v4p,gpt-oss-120b-or,15,20,7,0.466667,0.350877,0.115789,1,1
20,deepseek-v4p,gpt5-mini-or,15,14,8,0.533333,0.245614,0.287719,1,1
20,gemma4-31b-or,gemma3-1b,7,40,6,0.857143,0.701754,0.155388,1,0
20,gemma4-31b-or,deepseek-v4f,7,18,3,0.428571,0.315789,0.112782,1,1
20,gemma4-31b-or,deepseek-v4p,7,15,3,0.428571,0.263158,0.165414,1,1
20,gemma4-31b-or,mistral-large-or,7,12,4,0.571429,0.210526,0.360902,1,1
20,gemma4-31b-or,minimax-m2.5-or,7,18,4,0.571429,0.315789,0.255639,1,1
20,gemma4-31b-or,llama3.3-70b-or,7,9,4,0.571429,0.157895,0.413534,1,1
20,gemma4-31b-or,gemma3-1b-qat,7,40,6,0.857143,0.701754,0.155388,1,0
20,gemma4-31b-or,gemini3-flash-or,7,11,4,0.571429,0.192982,0.378446,1,1
20,gemma4-31b-or,haiku-4.5-direct,7,9,4,0.571429,0.157895,0.413534,1,1
20,gemma4-31b-or,gpt-oss-120b-or,7,20,5,0.714286,0.350877,0.363409,1,1
20,gemma4-31b-or,gpt5-mini-or,7,14,6,0.857143,0.245614,0.611529,1,1
20,mistral-large-or,gemma3-1b,12,40,9,0.750000,0.701754,0.048246,1,0
20,mistral-large-or,deepseek-v4f,12,18,9,0.750000,0.315789,0.434211,1,1
20,mistral-large-or,deepseek-v4p,12,15,7,0.583333,0.263158,0.320175,1,1
20,mistral-large-or,gemma4-31b-or,12,7,4,0.333333,0.122807,0.210526,1,1
20,mistral-large-or,minimax-m2.5-or,12,18,9,0.750000,0.315789,0.434211,1,1
20,mistral-large-or,llama3.3-70b-or,12,9,6,0.500000,0.157895,0.342105,1,1
20,mistral-large-or,gemma3-1b-qat,12,40,10,0.833333,0.701754,0.131579,1,0
20,mistral-large-or,gemini3-flash-or,12,11,6,0.500000,0.192982,0.307018,1,1
20,mistral-large-or,haiku-4.5-direct,12,9,5,0.416667,0.157895,0.258772,1,1
20,mistral-large-or,gpt-oss-120b-or,12,20,7,0.583333,0.350877,0.232456,1,1
20,mistral-large-or,gpt5-mini-or,12,14,6,0.500000,0.245614,0.254386,1,1
20,minimax-m2.5-or,gemma3-1b,18,40,12,0.666667,0.701754,-0.035088,1,0
20,minimax-m2.5-or,deepseek-v4f,18,18,10,0.555556,0.315789,0.239766,1,1
20,minimax-m2.5-or,deepseek-v4p,18,15,8,0.444444,0.263158,0.181287,1,1
20,minimax-m2.5-or,gemma4-31b-or,18,7,4,0.222222,0.122807,0.099415,1,1
20,minimax-m2.5-or,mistral-large-or,18,12,9,0.500000,0.210526,0.289474,1,1
