model,leaf,family,field,n_items,n_instances,n_runs,flipped,wobble,dropped,absent,parse_failure_rate
gemma3-1b-qat,note_principal,convertibles,note_principal,7,7,140,0,0.000000,0,0,0.000000
gemma3-1b-qat,note_interest_rate,convertibles,note_interest_rate,6,6,120,5,0.833333,0,0,0.041667
gemma3-1b-qat,note_maturity_date,convertibles,note_maturity_date,4,4,80,2,0.500000,0,0,0.000000
gemma3-1b-qat,note_valuation_cap,convertibles,note_valuation_cap,4,4,80,1,0.250000,0,0,0.000000
gemma3-1b-qat,note_discount,convertibles,note_discount,4,4,80,1,0.250000,0,0,0.262500
gemma3-1b-qat,note_qualified_financing_threshold,convertibles,note_qualified_financing_threshold,2,2,40,1,0.500000,0,0,0.175000
gemma3-1b-qat,current_ownership_pct,cap_table,current_ownership_pct,9,9,180,9,1.000000,0,0,0.000000
gemma3-1b-qat,founder_ownership_pct,cap_table,founder_ownership_pct,3,3,60,3,1.000000,0,0,0.000000
gemma3-1b-qat,investor_ownership_pct,cap_table,investor_ownership_pct,4,4,80,1,0.250000,0,0,0.000000
gemma3-1b-qat,employee_pool_pct,cap_table,employee_pool_pct,1,1,20,1,1.000000,0,0,0.000000
gemma3-1b-qat,option_pool_shuffle,cap_table,option_pool_shuffle,3,3,60,3,1.000000,0,0,0.016667
gemma3-1b-qat,fully_diluted_basis,cap_table,fully_diluted_basis,8,8,160,3,0.375000,0,0,0.000000
gemma3-1b-qat,multi_round_stacked_dilution,cap_table,multi_round_stacked_dilution,5,5,100,3,0.600000,0,0,0.000000
gemma3-1b-qat,liquidation_waterfall_payout,exit_waterfall,liquidation_waterfall_payout,4,4,80,4,1.000000,0,0,0.000000
gemma3-1b-qat,preference_stack_payout,exit_waterfall,preference_stack_payout,2,2,40,2,1.000000,0,0,0.000000
gemma3-1b-qat,convert_vs_preference_decision,exit_waterfall,convert_vs_preference_decision,2,2,40,0,0.000000,0,0,0.000000
gemma3-1b-qat,board_seats_investor,rights_governance,board_seats_investor,9,9,180,3,0.333333,0,0,0.000000
gemma3-1b-qat,protective_provisions,rights_governance,protective_provisions,12,12,240,5,0.416667,0,0,0.008333
gemma3-1b-qat,information_rights,rights_governance,information_rights,12,12,240,2,0.166667,0,0,0.000000
gemma3-1b-qat,pro_rata_rights,rights_governance,pro_rata_rights,12,12,240,2,0.166667,0,0,0.000000
gemma3-1b-qat,rofr_cosale,rights_governance,rofr_cosale,12,12,240,5,0.416667,0,0,0.000000
gemma3-1b-qat,drag_along,rights_governance,drag_along,12,12,240,3,0.250000,0,0,0.000000
gemma3-1b-qat,vesting_acceleration,rights_governance,vesting_acceleration,9,9,180,0,0.000000,0,0,0.033333
gemma3-1b-qat,vesting_schedule,founder_equity,vesting_schedule,9,9,180,2,0.222222,0,0,0.000000
gemma3-1b-qat,cliff_present,founder_equity,cliff_present,12,12,240,3,0.250000,0,0,0.000000
gemma3-1b-qat,acceleration_trigger,founder_equity,acceleration_trigger,13,13,260,1,0.076923,0,0,0.000000
gemma3-1b-qat,option_strike_409a,founder_equity,option_strike_409a,7,7,140,3,0.428571,0,0,0.057143
gemma3-1b-qat,exercise_window,founder_equity,exercise_window,5,5,100,3,0.600000,0,0,0.000000
gemma3-1b-qat,securities_exemption,regulatory,securities_exemption,10,10,200,3,0.300000,0,0,0.000000
gemma3-1b-qat,form_d_fields,regulatory,form_d_field_value,2,2,40,0,0.000000,0,0,0.000000
gemma3-1b-qat,s1_use_of_proceeds,regulatory,s1_use_of_proceeds,5,5,100,2,0.400000,0,0,0.200000
gemma3-1b-qat,s1_risk_factors,regulatory,s1_risk_factors,5,5,100,5,1.000000,0,0,0.040000
gemma3-1b-qat,financial_statement_qa,regulatory,financial_statement_qa,5,5,100,2,0.400000,0,0,0.150000
gemma3-1b-qat,flag_offmarket_liqpref,risk_flag,flag_offmarket_liqpref,10,10,200,7,0.700000,0,0,0.000000
gemma3-1b-qat,flag_full_ratchet,risk_flag,flag_full_ratchet,7,7,140,0,0.000000,0,0,0.000000
gemma3-1b-qat,flag_uncapped_participation,risk_flag,flag_uncapped_participation,13,13,260,1,0.076923,0,0,0.000000
gemma3-1b-qat,flag_missing_pro_rata,risk_flag,flag_missing_pro_rata,4,4,80,1,0.250000,0,0,0.000000
gemma3-1b-qat,flag_internal_inconsistency,risk_flag,flag_internal_inconsistency,5,5,100,5,1.000000,0,0,0.000000
gemini3-flash-or,post_money_valuation,priced_equity,post_money_valuation,4,4,80,1,0.250000,0,0,0.000000
gemini3-flash-or,pre_vs_post_money,priced_equity,pre_vs_post_money,19,19,380,1,0.052632,0,0,0.000000
gemini3-flash-or,price_per_share,priced_equity,price_per_share,8,8,160,1,0.125000,0,0,0.000000
gemini3-flash-or,round_size,priced_equity,round_size,10,10,200,0,0.000000,0,0,0.005000
gemini3-flash-or,per_investor_allocation,priced_equity,per_investor_allocation,5,5,100,1,0.200000,0,0,0.000000
gemini3-flash-or,liquidation_preference_multiple,priced_equity,liquidation_preference_multiple,9,9,180,1,0.111111,0,0,0.000000
gemini3-flash-or,participation_type,priced_equity,participation_type,18,18,360,1,0.055556,0,0,0.002778
gemini3-flash-or,participation_cap,priced_equity,participation_cap,3,3,60,0,0.000000,0,0,0.000000
