config_set,stratum,group,items,pairs,flips,wobble,w_lo,w_hi,boot_lo,boot_hi,dispersion,disp_boot_lo,disp_boot_hi,acc_n,accuracy,a_lo,a_hi,newcombe_d,newcombe_lo,newcombe_hi,newcombe_excludes_zero
all,pooled,flagged,36,432,110,0.25462962962962965,0.2158350611743695,0.29774953315579683,0.18518518518518517,0.3287037037037037,0.10365998705862613,0.07753428365023224,0.13042352069665583,432,0.7222222222222222,0.6781677960595972,0.7623593637923275,
all,pooled,clean,427,5116,447,0.08737294761532448,0.0799414463265128,0.09542364379241118,0.07737397420867527,0.09761895655974648,0.018791769279910348,0.016212125803852256,0.021691857448041602,5116,0.9093041438623924,0.9011247899256658,0.9168692893215977,
all,pooled,difference,,,,0.16725668201430516,,,0.09738759697247525,0.24286375218273432,0.08486821777871578,0.05878206971200957,0.11243126610021896,,,,,0.16725668201430516,0.12763557336543438,0.211012290700639,1
all,numeric,flagged,30,360,102,0.2833333333333333,0.23926247054050886,0.33197935411125834,0.20548611111111112,0.37777777777777777,0.12087547260244628,0.09275153731317465,0.15111502949742275,360,0.7416666666666667,0.6940662219542675,0.7841640505495306,
all,numeric,clean,118,1408,131,0.09303977272727272,0.07895418544876939,0.10933994429208016,0.0730629094052615,0.1148936170212766,0.02038181972296299,0.015307046810091323,0.0258661972803722,1408,0.9140625,0.8982729735462406,0.9275987932270312,
all,numeric,difference,,,,0.19029356060606062,,,0.10858120201874703,0.28174814106713325,0.1004936528794833,0.07176915970897245,0.131097516978756,,,,,0.19029356060606062,0.1433048753685897,0.24093780121154948,1
all,non-numeric,flagged,6,72,8,0.1111111111111111,0.057388196349493464,0.20422938233664037,0.041666666666666664,0.18055555555555555,0.017582559339525287,0.005374957000343999,0.03037710698314414,72,0.625,0.5095289902692696,0.7278082165816159,
all,non-numeric,clean,309,3708,316,0.08522114347357065,0.07665790536726488,0.09464290741656295,0.07442691477885653,0.09682443365695789,0.01818799608039089,0.015149703566224798,0.02138092017582951,3708,0.9074973031283711,0.8977452389039927,0.9164059131659917,
all,non-numeric,difference,,,,0.02588996763754045,,,-0.04571871628910464,0.1028856526429342,-0.0006054367408656024,-0.01287927027669966,0.012730376124948744,,,,,0.02588996763754045,-0.028652870630022267,0.11940115136920175,0
frontier,pooled,flagged,36,360,52,0.14444444444444443,0.11188231345049576,0.18451452700368626,0.07222222222222222,0.23055555555555557,0.04075043272669692,0.017045748562582928,0.0695645015316068,360,0.85,0.8094291103638211,0.8831802498140933,
frontier,pooled,clean,427,4263,153,0.03589021815622801,0.03071100175015528,0.041905115302933164,0.02744530002917904,0.045125276228269805,0.007065283447333545,0.005124928307195768,0.009304952532296714,4263,0.9617640159512081,0.9555793498465873,0.9671172251248533,
frontier,pooled,difference,,,,0.10855422628821643,,,0.03587747743547151,0.19838087333138205,0.03368514927936338,0.01009808639352699,0.06225436712320607,,,,,0.10855422628821643,0.07544121732568759,0.1489576394965753,1
frontier,numeric,flagged,30,300,49,0.16333333333333333,0.1258064331944026,0.20937316743012502,0.07,0.27,0.04781228397791865,0.01817560854751257,0.08106198154700477,300,0.8833333333333333,0.8420668566758442,0.9149068653853369,
frontier,numeric,clean,118,1173,50,0.042625745950554135,0.03248095217830885,0.05575647185394188,0.02555366269165247,0.06271319417489685,0.007650473353045943,0.004298607693059662,0.01191582334062532,1173,0.9599317988064792,0.9471254215710725,0.9697355471793483,
frontier,numeric,difference,,,,0.1207075873827792,,,0.026406222632746154,0.22928338283441455,0.04016181062487271,0.010263893718705347,0.07376680625259374,,,,,0.1207075873827792,0.08094976806648399,0.1678518676757425,1
frontier,non-numeric,flagged,6,60,3,0.05,0.01714950216439568,0.1370051647634852,0.016666666666666666,0.08333333333333333,0.005441176470588237,0.000833333333333334,0.011323529411764708,60,0.6833333333333333,0.5576623297382323,0.7869413244763347,
frontier,non-numeric,clean,309,3090,103,0.03333333333333333,0.02756104682358021,0.0402644903326389,0.02330097087378641,0.04401294498381877,0.006843138541378646,0.004435480684319694,0.009617131228591971,3090,0.9624595469255663,0.955162845362537,0.9686078255138589,
frontier,non-numeric,difference,,,,0.01666666666666667,,,-0.02249190938511327,0.05647249190938511,-0.0014019620707904096,-0.006783760779627803,0.00515121657816151,,,,,0.01666666666666667,-0.016907075236732585,0.10386310000583418,0
all,evidence-absent,flagged,17,204,69,0.3382352941176471,0.27683609117750113,0.4056141746429552,0.20098039215686275,0.4950980392156863,0.1254582738602043,0.0754786135730522,0.18053265061813142,204,0.6029411764705882,0.5344921656369235,0.667584937931877,
all,evidence-absent,clean,427,5116,447,0.08737294761532448,0.0799414463265128,0.09542364379241118,0.07700990770004441,0.09784334788602941,0.018791769279910348,0.016115297754714614,0.021674291083714867,5116,0.9093041438623924,0.9011247899256658,0.9168692893215977,
all,evidence-absent,difference,,,,0.2508623465023226,,,0.11451566302687449,0.40869888596489706,0.10666650458029396,0.056896702901261136,0.16186357242200378,,,,,0.2508623465023226,0.18893758707105,0.318649814018445,1
all,computational,flagged,17,204,38,0.18627450980392157,0.1388268322943278,0.2453191377817086,0.1568627450980392,0.21568627450980393,0.090019325153522,0.07570984505128162,0.10429413595503562,204,0.8235294117647058,0.7653787180448819,0.8697207503142055,
all,computational,clean,427,5116,447,0.08737294761532448,0.0799414463265128,0.09542364379241118,0.07737397420867527,0.0978091836192215,0.018791769279910348,0.016012864208399032,0.02160862129171799,5116,0.9093041438623924,0.9011247899256658,0.9168692893215977,
all,computational,difference,,,,0.0989015621885971,,,0.06830939485503117,0.1304803691699423,0.07122755587361165,0.05695512794757112,0.08568764131152158,,,,,0.0989015621885971,0.05077572910500082,0.15841202601170035,1
all,quote-absent-from-source,flagged,2,24,3,0.125,0.04344334080123444,0.31003881270500067,0.08333333333333333,0.16666666666666666,0.034320175438596494,0.025000000000000005,0.043640350877192986,24,0.875,0.6899611872949993,0.9565566591987655,
all,quote-absent-from-source,clean,427,5116,447,0.08737294761532448,0.0799414463265128,0.09542364379241118,0.07717746844019129,0.09765368690987485,0.018791769279910348,0.01600729185580313,0.021645599562380623,5116,0.9093041438623924,0.9011247899256658,0.9168692893215977,
all,quote-absent-from-source,difference,,,,0.03762705238467552,,,-0.009794351164909551,0.08650516290888315,0.015528406158686146,0.004495486498528779,0.026709461522719052,,,,,0.03762705238467552,-0.044325997397497624,0.2228150363865592,0
