reading,lo,hi,n_pairs,n_total,share
closed,0.3,0.7,109,5548,0.019647
half-open,0.3,0.7,93,5548,0.016763
always correct,1.0,1.0,4691,5548,0.845530
always wrong,0.0,0.0,426,5548,0.076784
