k,n_pairs,median,q1,q3,iqr,chance,median_lift,k_eff_a,k_eff_b,n_truncated,n_models
5,90,0.600000,0.400000,0.600000,0.200000,0.175439,0.424561,5.0,10.0,27,10
10,90,0.500000,0.400000,0.592857,0.192857,0.228070,0.280702,10.0,13.0,84,10
