model,n_leaves,r_half,r_full,note
gemma3-1b,57,0.723956,0.839878,
deepseek-v4f,57,0.768528,0.869116,
deepseek-v4p,57,0.701814,0.824784,
gemma4-31b-or,57,0.999352,0.999676,
mistral-large-or,57,0.859705,0.924561,
minimax-m2.5-or,56,0.840996,0.913631,
llama3.3-70b-or,57,0.929539,0.963483,
gemma3-1b-qat,57,0.808756,0.894268,
gemini3-flash-or,57,0.711217,0.831241,
haiku-4.5-direct,57,0.861624,0.925669,
gpt-oss-120b-or,57,0.630925,0.773702,
gpt5-mini-or,57,0.877044,0.934495,
