bin_lo,bin_hi,n_items,share
0.00,0.10,480,0.086518
0.10,0.20,34,0.006128
0.20,0.30,36,0.006489
0.30,0.40,11,0.001983
0.40,0.50,25,0.004506
0.50,0.60,38,0.006849
0.60,0.70,30,0.005407
0.70,0.80,21,0.003785
0.80,0.90,61,0.010995
0.90,1.00,4812,0.867340
