model,n_leaves,r_half,r_full,note
gemma3-1b,50,0.585880,0.738870,
deepseek-v4f,50,0.806312,0.892772,
deepseek-v4p,50,0.658748,0.794271,
gemma4-31b-or,50,1.000000,1.000000,
mistral-large-or,50,0.918564,0.957554,
minimax-m2.5-or,50,0.806753,0.893042,
llama3.3-70b-or,50,0.890031,0.941816,
gemma3-1b-qat,50,0.850139,0.919000,
gemini3-flash-or,50,0.738533,0.849605,
haiku-4.5-direct,50,1.000000,1.000000,
gpt-oss-120b-or,50,0.707846,0.828934,
gpt5-mini-or,50,0.841509,0.913934,
