floor,median_point_ratio,median_conservative_ratio,n_models_above_2x,gradient_slope_all,gradient_r2_all,gradient_slope_frontier,gradient_slope_frontier_lo,gradient_slope_frontier_hi,gradient_r2_frontier,gradient_intercept_frontier,gradient_intercept_lo,gradient_intercept_hi,n_models_frontier
3,2.6415,0.6008,0,1.4497,0.9147,3.4287,1.7980,5.0595,0.6798,-0.0163,-0.0818,0.0491,10
5,2.6415,0.6008,0,1.4497,0.9147,3.4287,1.7980,5.0595,0.6798,-0.0163,-0.0818,0.0491,10
