k,n_pairs,median,q1,q3,iqr,chance,median_lift,k_eff_a,k_eff_b,n_truncated,n_models
5,90,0.400000,0.200000,0.500000,0.300000,0.200000,0.200000,5.0,10.0,42,10
10,90,0.400000,0.300000,0.575000,0.275000,0.220000,0.202222,10.0,11.0,90,10
