accuracy_decile,n_leaves,max_observed_wobble,max_structural_wobble,mean_observed_wobble
0.0-0.1,0,—,—,—
0.1-0.2,0,—,—,—
0.2-0.3,0,—,—,—
0.3-0.4,0,—,—,—
0.4-0.5,0,—,—,—
0.5-0.6,0,—,—,—
0.6-0.7,1,0.197917,0.099190,0.197917
0.7-0.8,3,0.259259,0.195818,0.183642
0.8-0.9,13,0.266667,0.175521,0.108042
0.9-1.0,35,0.166667,0.115363,0.072195
