bin_lo,bin_hi,n_items,share
0.00,0.10,369,0.072127
0.10,0.20,31,0.006059
0.20,0.30,32,0.006255
0.30,0.40,11,0.002150
0.40,0.50,23,0.004496
0.50,0.60,33,0.006450
0.60,0.70,28,0.005473
0.70,0.80,20,0.003909
0.80,0.90,57,0.011142
0.90,1.00,4512,0.881939
